supplier_name,total_water_production_16,total_water_production_15,total_water_production_13,savings_16,savings_15,savings_change,residential_water_usage_mean_16,cc_score
Walnut Valley Water District,1718647956.96891,1508578059.01055,2130729447.09592,-0.19339925615082526,-0.29198985771437663,0.09859060156355137,141.21154378537832,1.1715764060523746
Coachella Valley Water District,9740318270.7413,8791829937.0297,12544823747.502201,-0.22355877876078611,-0.29916672294576957,0.07560794418498346,235.8008332991533,1.1610210593251231
Sunnyvale  City of,1735810551.629,1427229250.26,2237295897.782,-0.22414797553160506,-0.3620739877658025,0.13792601223419745,70.2228840314224,1.1558075068287184
San Bernardino County Service Area 64,282897691.89286,247614499.3773,373415959.79919,-0.2424059966665794,-0.3368936359590565,0.09448763929247714,148.16466147847635,1.1501310153270201
Sierra Madre  City of,206778798.54566002,186406567.32962,243775969.56724,-0.15176709618777728,-0.23533657701972943,0.08356948083195215,189.38813724265435,1.1500695115291852
"Windsor, Town of",363086469.56329,314781276.470529,425144873.83544004,-0.1459700165552763,-0.25959056349255016,0.11362054693727386,101.29512232260606,1.1435394251711397
"Colton, City of",970743986.1757,861583758.1307001,1074397325.1044002,-0.09647579764648812,-0.19807715637510617,0.10160135872861806,125.650608979482,1.138890092061179
Crestline Village Water District,67061622.852485806,56468332.0480266,73693103.3715058,-0.08998780368346004,-0.23373654433637728,0.14374874065291723,61.97185564744893,1.1316217834446303
Marin Municipal Water District,2514696476.10137,2203873316.91461,2858648949.87122,-0.12031994127342745,-0.229050731460436,0.10873079018700856,108.20727051306301,1.1310472948096582
Vallejo  City of,1577748000.0,1366919000.0,1818329000.0,-0.13230883959943443,-0.24825540372506846,0.11594656412563403,92.92757858394312,1.1177127216606855
East Valley Water District,1873567500.9075198,1647097500.62825,2473948755.1550198,-0.24268136233479887,-0.3342232747561332,0.09154191242133436,147.867325141175,1.1131561485574777
Lincoln Avenue Water Company,201757428.05559,175487286.01085,257034864.13186997,-0.21505812553086284,-0.3172627121867115,0.10220458665584864,118.181978238194,1.1110817490825193
Lake Hemet Municipal Water District,866276018.6795,748611068.3898,1227319399.7955,-0.2941723085092261,-0.3900438072481084,0.09587149873888229,133.57714755041232,1.108040409822284
West Valley Water District,1847251739.663,1669281465.77841,2130416629.7259998,-0.1329152646069133,-0.21645304374426425,0.08353777913735094,173.312555701067,1.0997600478544225
Antioch  City of,1574516000.0,1343744000.0,2102293000.0,-0.25104826016164256,-0.3608198286347336,0.10977156847309105,99.83151363129083,1.0967905442347472
Tahoe City Public Utilities District,155491917.0,133142768.0,211935505.0,-0.2663243612720766,-0.3717769563905774,0.1054525951185008,106.24479902250977,1.086953866045531
East Bay Municipal Utilities District,17740000000.0,15177200000.0,21552000000.0,-0.17687453600593914,-0.29578693392724575,0.11891239792130662,83.53489989759343,1.0868287421479486
Napa  City of,1346092244.937,1178604611.459,1622740106.46,-0.17048192771084336,-0.27369477911646584,0.10321285140562247,109.47163757319434,1.0799025920163927
Cerritos  City of,684284738.18573,608797996.60691,811194093.45942,-0.15644758300997003,-0.24950390847814383,0.0930563254681738,131.87382999765165,1.068624702642142
